GEOID,lat,lon,population,dist_to_existing_m,covered
39049006392,40.10159844418081,-83.04475187631473,4524,433.6952941170597,0
39049009361,39.96586983838399,-82.85017966528827,5427,1410.3905042908773,0
39049006500,40.00308220294803,-83.0667750081965,3731,103.78626439523295,0
39049006600,39.99564991377922,-83.06060086753119,4025,112.09496268966355,0
39049006710,40.088047962679205,-83.01380039015254,2844,472.8621726319887,0
39049006721,40.10348506845495,-83.02567369403846,4016,937.633356618005,0
39049008132,39.94142720621608,-83.14948168297644,6709,518.4620006785767,0
39049006810,40.07944862679905,-83.01331871449435,2511,587.5717771639978,0
39049006821,40.06914992250939,-83.0260566768833,3599,587.5807953896067,0
39049006923,40.07924932675061,-82.98184817728945,4543,699.3407037754667,0
39049006910,40.08780060048825,-83.0275581095374,1779,1037.7968864685163,0
39049006921,40.07724126169248,-82.99518666657391,3736,503.42900575270926,0
39049006924,40.0657480616025,-82.98559888861396,3837,686.5711929336638,0
39049008210,39.96177655362559,-83.10324745396484,2407,1153.507684845816,0
39049008241,39.976835241386446,-83.07597879099404,2883,1293.150632645777,0
39049008242,39.97871066766782,-83.09763396475788,6767,549.2194229796665,0
39049008311,39.94173544709516,-83.10246990234225,4187,108.17765887077041,0
39049008312,39.935261331920834,-83.09490685245278,4748,592.4965856386044,0
39049008321,39.93649391106783,-83.08264522417554,3410,625.7789074399383,0
39049009440,39.85358223955222,-82.88708405144385,4853,1749.797354197751,0
39049002800,39.97305039347943,-82.9648449709764,2360,140.93363182095612,0
39049008822,39.88644983971602,-82.99955180821001,4265,135.21273785953193,0
39049009100,39.968554045928656,-82.92853808571819,4798,277.80795908147513,0
39049002740,39.96915642314144,-82.91841840068344,2436,319.5200503827286,0
39049005900,39.939131392116224,-82.9688228866453,2440,315.0440949489347,0
39049008322,39.93396429625708,-83.06383964447092,4951,652.5491797990036,0
39049008330,39.936761868102614,-83.04473238491721,1701,181.60845594128392,0
39049008340,39.92559126638035,-83.03025241591799,5058,2088.318586465122,0
39049008350,39.926174135902,-83.10950320398088,7699,764.3480461127148,0
39049008360,39.92350275302234,-83.0790967457361,6701,1140.85435562232,0
39049009420,39.9038475957967,-82.86977752652217,6013,1308.2113315993738,0
39049000120,40.0489446901107,-83.01928736759928,3307,138.07746359838046,0
39049006950,40.077274466625965,-83.04072702544522,2760,549.4297797845545,0
39049002520,39.9738409481957,-82.95255176581313,2847,33.476189111808544,0
39049005620,39.93999716114006,-82.9784122040387,2156,542.7350545544198,0
39049007812,40.047381304595746,-83.03613011536086,4632,686.5141036490836,0
39049004810,39.9402282820268,-83.07420311934301,2459,89.36878006957544,0
39049008710,39.93765766749499,-82.95630659273664,2079,238.00946994366063,0
39049008110,39.95752363244489,-83.12919939801753,4200,335.4110109121746,0
39049001200,40.0038089169607,-83.00176017044113,4039,201.64173503548287,0
39049008380,39.902117006067435,-83.02750874174524,5260,3515.9295333430437,0
39049008400,39.982247677954405,-83.05549651295235,4027,12.703866466492189,0
39049008500,39.97605041967528,-83.0338140021604,5450,491.430636187877,0
39049008811,39.90800091746466,-82.9760203577231,1800,1069.0936970595621,0
39049008813,39.89804613162238,-82.95578412577285,2156,196.7305223577034,0
39049008821,39.91396334747371,-82.99839231430128,2213,376.8905264250425,0
39049007533,40.04320522227491,-82.94042369521112,1810,1171.9113074890372,0
39049007520,40.01904264555636,-82.94666980526816,3050,421.80204895996746,0
39049007113,40.068009583570614,-82.92913453193127,6056,196.50029444567585,0
39049007492,40.042412650707426,-82.87802390811787,6442,1169.037002284338,0
39049007425,40.01568552758516,-82.88610056543506,2410,508.2379350182123,0
39049009336,39.92583871912061,-82.92433519796805,2501,1255.580384253471,0
39049006391,40.125284060297965,-83.0466238399462,5431,2462.9617079816994,0
39049008230,39.946438389058784,-83.11612267807098,3422,529.7894790586711,0
39049001600,39.99132450515589,-82.99792221926307,2784,287.1792247995586,0
39049006722,40.101516448140906,-83.0064605965587,2839,1213.305839337406,0
39049002760,39.954316176721534,-82.91984921059252,3273,345.9062285623202,0
39049007820,40.02204192903191,-83.02747725952793,3753,337.90344316230744,0
39049009390,39.974217142902994,-82.79075332740392,7768,1595.898117709916,1
39049004620,39.94968308019337,-83.07377128739986,2950,751.9104316672484,0
39049000500,40.02141590197444,-83.00857583663745,4168,503.6425960959851,0
39049008120,39.946969281714836,-83.12998012955603,4071,804.335827153,0
39049008825,39.884871203468364,-82.97721440163976,7186,1141.2963721852514,0
39049008900,39.95252661330751,-82.93375976179995,5142,649.8966226262833,0
39049009000,39.96961368908955,-82.93899793764453,3384,85.14807331689397,0
39049008730,39.93038052244314,-82.94295229928449,1920,99.6860627764392,0
39049009373,39.91484227165114,-82.84933541433355,6919,250.52015478430928,0
39049006430,40.013476731668916,-83.059073250715,4986,206.1526877641058,0
39049006822,40.073263708124834,-83.01022436581022,2146,956.3485384161967,0
39049007550,40.00883329682794,-82.92623657558259,2769,373.1818957473688,0
39049008720,39.92586396930947,-82.96793620177209,3479,330.41355621216024,0
39049009323,39.94137312997512,-82.88529389447486,3704,572.2810941251306,0
39049000110,40.05860321550026,-83.01374841316434,3354,517.2650353148529,0
39049000210,40.044604742330826,-83.00963521125385,3116,1060.1215198195373,0
39049000220,40.036982518362024,-83.01141409244381,4183,650.2922542379775,0
39049000310,40.03723396082303,-82.99360813106253,2887,540.1607043492455,0
39049000320,40.03815958992862,-82.98342099797996,3011,635.2175392493606,0
39049000710,40.019254128465526,-82.98902099628746,3277,653.2236776382051,0
39049000330,40.027872171857084,-82.9858866961766,2517,535.8643421439981,0
39049000410,40.0290081885425,-83.01958255243203,2470,424.3866965544671,0
39049000420,40.02882410006325,-83.00621053250576,3269,421.1161848498518,0
39049000600,40.01572588400083,-83.00568416847612,4000,139.47673684167975,0
39049000810,40.026543564324164,-82.97619930405132,2660,549.5994210305716,0
39049000820,40.0256164721552,-82.96389732429701,3646,328.2273576054416,0
39049000910,40.01599155953131,-82.9741393006373,3478,322.42657845287613,0
39049007426,40.02041141480237,-82.87183069683518,3682,280.5128289618665,0
39049000720,40.008008458547614,-82.9871890685164,2959,638.9804847186447,0
39049000730,40.00507863265079,-82.97366851805594,3404,278.56148601893153,0
39049000920,40.01632833810491,-82.96263092665421,2425,409.727782872772,0
39049001000,40.00968365539265,-83.00316393589658,4931,352.0190334542224,0
39049001110,40.00912995771845,-83.0143943501085,3114,415.2882994263202,0
39049001400,39.99521224887098,-82.98710713293461,1653,187.43396536275665,0
39049001500,39.99161213118587,-82.97788106950226,1744,515.3006016439637,0
39049001700,39.99052680319373,-83.00339621179607,3599,193.72983838269417,0
39049001810,39.992208580964345,-83.01161356366516,3483,262.59564526464226,0
39049009220,39.96288077395157,-82.89942782619548,2570,977.0727289252328,0
39049008812,39.907065282992946,-82.94333200478026,3069,466.5266560431813,0
39049002510,39.991164844220584,-82.95467557080761,2735,541.4415725312205,0
39049006931,40.0820166995604,-82.96469541181578,7220,661.0037819398634,0
39049006932,40.07219717713367,-82.96318183615168,7048,1225.3715975987755,0
39049001820,39.98781582920146,-83.01476771901329,2236,153.2919187317652,0
39049002000,39.98206665367541,-83.0141444558186,3155,220.53654382048572,0
39049002100,39.9787513295809,-83.00635669073019,2223,278.1297162584615,0
39049002200,39.98101173529308,-82.99909171735203,3307,234.15685971991996,0
39049002300,39.982501486115055,-82.97362642213639,1742,501.8459144372856,0
39049006933,40.0634417414768,-82.96534307091468,5972,512.3110194587017,0
39049007205,40.10247253254705,-82.82485496361683,5994,4453.9820711704315,0
39049007494,40.04437569238768,-82.89607439938547,4280,709.1375423606981,0
39049007043,40.120075757639604,-83.00610447902163,6102,428.13019623871423,0
39049001901,39.9861289358864,-83.03022337674892,3675,208.4784868879981,0
39049001902,39.989159298339125,-83.04754365871128,4213,24.310862177091455,0
39049006236,40.12943840803738,-83.12943012486754,6191,4046.494702080458,0
39049006396,40.080053465663134,-83.07225984823333,5327,2216.8057762301078,0
39049006394,40.132265538260434,-83.06623278758623,2754,477.30524461640783,0
39049006393,40.132028477365104,-83.0809514838473,5463,123.81697357371105,0
39049007044,40.131487462058274,-83.00493130763961,6030,1379.8320361790377,0
39049007048,40.12528174289123,-82.98797084973795,5969,711.5365721302696,0
39049007047,40.11893756778197,-82.98056925405159,4350,1643.4519905061,0
39049007198,40.088875454600846,-82.90091311216973,3031,3344.9308249918117,0
39049007202,40.069387202944974,-82.89785907807988,4115,1779.6069713802979,0
39049010601,40.01740432663796,-83.17735427677312,5946,1948.992517907439,0
39049006395,40.06736699508321,-83.08527784886925,3890,182.38925013232816,0
39049010700,40.06604149123295,-83.00972809745465,1220,579.5489483158443,0
39049009900,40.10072637624825,-82.9898755411368,1688,1621.8258472644873,0
39049010000,40.105463673005985,-82.8759876999883,6116,5560.6550165271865,0
39049010300,39.81870024344202,-82.92914023829738,2371,1671.4184303471436,0
39049009405,39.832749004963375,-82.81739904955441,4035,3112.7713286994667,0
39049007397,39.987085956371274,-82.82682076717282,3378,832.2146036389144,0
39049006992,40.10614987524676,-82.97292814919564,4599,194.19610450960013,0
39049009397,39.94860025614743,-82.83716471979625,2930,871.5738923143508,0
39049009394,39.95930553665601,-82.82880528251958,1969,649.0266744506037,0
39049008171,39.96757207037269,-83.15435525388287,3212,822.4709003294637,0
39049009754,39.842283048059684,-83.03144267846058,3391,5023.856541197151,0
39049007211,40.06696128535911,-82.79721219129111,4338,3617.3670990868327,0
39049010202,39.87715989073553,-82.81227821722504,6156,1543.2808292935092,0
39049006241,40.0779744046942,-83.1659660930159,8591,2663.002008964862,1
39049007398,40.01331217929682,-82.78041097472577,9389,3846.69322443572,1
39049007213,40.10937153604754,-82.79879162770277,5866,2966.0592654332545,0
39049007103,40.05957272496514,-82.87737499483788,4696,544.155443194247,0
39049007212,40.078356576804204,-82.82954494939372,5289,4553.530805963171,0
39049007214,40.08778971677947,-82.8554110573331,3843,4146.085126381019,0
39049007961,40.04724180118031,-83.18543892310106,5362,3933.6840168030153,0
39049007101,40.1034125420955,-82.91455294661846,2906,1561.8050473440157,0
39049007215,40.10237964731819,-82.85081954573994,6095,6329.509788333342,0
39049009392,39.92175330008085,-82.83399815577707,3468,447.4201376761304,0
39049009403,39.860784426286074,-82.81229953277077,3249,1501.440747978717,0
39049007302,39.99245155286472,-82.78215928933737,4312,885.7113029172955,0
